name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Hollywood Brown,KC,WR,27.8,3950,5848,14105,1352,224,75,-88
2025 Round 3,null,PICK,null,9634,FP_2025_3,FP_2025_3,1347,225,37,-65
Jack Bech,null,WR,null,12626,12483,UNK,1343,226,76,-41
2025 Pick 3.07,null,PICK,null,15688,DP_2_6,DP_2_6,1330,227,38,-64
Christian Watson,GB,WR,25.9,5981,8167,15789,1325,228,77,-47
2025 Pick 3.08,null,PICK,null,15689,DP_2_7,DP_2_7,1296,229,39,-63
Michael Mayer,LV,TE,23.7,9931,9482,16212,1292,230,26,544
Brenton Strange,JAX,TE,24.2,9948,9480,16269,1288,231,27,314
Keenan Allen,CHI,WR,32.9,1334,1479,11222,1277,232,78,-267
2025 Pick 3.09,null,PICK,null,15690,DP_2_8,DP_2_8,1263,233,40,-63
Matthew Stafford,LAR,QB,37.1,3611,421,9431,1259,234,28,219
Mason Taylor,null,TE,null,12642,12498,UNK,1238,235,28,-6
2025 Pick 3.10,null,PICK,null,15691,DP_2_9,DP_2_9,1232,236,41,-62
Audric Estime,DEN,RB,21.5,11776,11579,16595,1227,237,62,-128
Austin Ekeler,WAS,RB,29.8,1332,4663,13404,1223,238,63,330
Geno Smith,SEA,QB,34.5,6305,1373,11150,1217,239,29,2
DeMario Douglas,NE,WR,24.3,9840,9501,16342,1215,240,79,-105
Jordan Whittington,LAR,WR,24.5,11721,11623,16633,1212,241,80,-52
MarShawn Lloyd,GB,RB,24.2,11729,11581,16604,1207,242,64,-114
2025 Pick 3.11,null,PICK,null,15692,DP_2_10,DP_2_10,1203,243,42,-61
Dontayvion Wicks,GB,WR,23.8,9909,9486,16195,1191,244,81,-90
2025 Pick 3.12,null,PICK,null,15693,DP_2_11,DP_2_11,1176,245,43,-60
Brashard Smith,null,RB,null,12591,12455,UNK,1160,246,65,-22
Jalen Milroe,null,QB,null,12665,12510,UNK,1157,247,30,-63
Jaxson Dart,null,QB,null,12609,12508,UNK,1143,248,31,-10
Savion Williams,null,WR,null,12602,12482,UNK,1127,249,82,-21
DeAndre Hopkins,KC,WR,32.8,4681,1426,11232,1117,250,83,134
Ja'Lynn Polk,NE,WR,22.9,11700,11619,16631,1114,251,84,-11
Joshua Palmer,LAC,WR,25.5,2308,7670,15319,1106,252,85,726
Mike Gesicki,CIN,TE,29.5,7291,4993,13672,1093,253,29,495
Jaydon Blue,null,RB,null,12622,12457,UNK,1088,254,66,-20
Woody Marks,null,RB,null,12599,12474,UNK,1070,255,67,-20
Adam Thielen,CAR,WR,34.6,4811,1689,11938,1052,256,86,104
Kendre Miller,NO,RB,22.8,9960,9757,16171,1049,257,68,-421
Kareem Hunt,KC,RB,29.6,6621,4098,13138,1038,258,69,348
Zach Ertz,WAS,TE,34.4,324,1339,11247,1035,259,30,156
2026 Round 3,null,PICK,null,9664,FP_2026_3,FP_2026_3,1026,260,44,-24
Gunnar Helm,null,TE,null,12640,12502,UNK,1015,261,31,-20
2027 Round 3,null,PICK,null,9694,FP_2027_3,FP_2027_3,1010,262,45,-16
Raheim Sanders,null,RB,null,12641,12472,UNK,992,263,70,-18
Troy Franklin,DEN,WR,22.1,11738,11627,16619,991,264,87,-295
Chig Okonkwo,TEN,TE,25.5,722,8210,15889,951,265,32,-307
Tory Horton,null,WR,null,12637,12497,UNK,931,266,88,-18
Terrance Ferguson,null,TE,null,12596,12487,UNK,923,267,33,-18
Quinn Ewers,null,QB,null,12648,12500,UNK,919,268,32,-27
Hunter Henry,NE,TE,30.3,675,3214,12676,918,269,34,-141
Derek Carr,NO,QB,34,1954,2028,11644,913,270,33,17
Kayshon Boutte,NE,WR,22.9,9939,9504,16193,911,271,89,-223
Donovan Edwards,null,RB,null,12670,12515,UNK,896,272,71,-17
Tai Felton,null,WR,null,12604,12496,UNK,878,273,90,-16
Theo Johnson,NYG,TE,24.1,11749,11597,16649,873,274,35,-317
Roman Wilson,PIT,WR,23.8,11750,11630,16629,872,275,91,-37
Jaleel McLaughlin,DEN,RB,24.5,11676,11439,16390,864,276,72,5
Kalel Mullings,null,RB,null,12658,12516,UNK,858,277,73,-16
Jarquez Hunter,null,RB,null,11707,11569,UNK,852,278,74,-15
Alec Pierce,IND,WR,24.9,5433,8142,15768,851,279,92,51
Aaron Rodgers,NYJ,QB,41.3,715,96,7836,841,280,34,169
Daniel Jones,MIN,QB,27.8,5,5870,14059,829,281,35,435
Dalton Schultz,HOU,TE,28.7,4655,5001,13772,827,282,36,0
Oronde Gadsden,null,TE,null,12576,12493,UNK,824,283,37,-16
Russell Wilson,PIT,QB,36.3,8651,1234,10703,793,284,36,3
Parker Washington,JAX,WR,23,9894,9487,16192,786,285,93,83
Kimani Vidal,LAC,RB,23.6,11790,11647,16757,783,286,75,-24
Dillon Gabriel,null,QB,null,12646,12486,UNK,781,287,37,-9
Malik Washington,MIA,WR,24.2,11770,11610,16684,773,288,94,-128
Nick Nash,null,WR,null,12621,12478,UNK,770,289,95,-15
Roschon Johnson,CHI,RB,24.1,9926,10235,16175,764,290,76,-74
Raheem Mostert,MIA,RB,33,6259,2749,12447,760,291,77,453
Andrei Iosivas,CIN,WR,25.4,9959,10226,16207,742,292,96,-178
AJ Dillon,GB,RB,26.9,3368,6828,14805,737,293,78,569
Kirk Cousins,ATL,QB,36.6,536,1166,10700,731,294,38,-193
Joe Milton,NE,QB,25,11772,11557,16585,726,295,39,21
Jalen Tolbert,DAL,WR,26.1,2144,8117,15788,719,296,97,305
Khalil Herbert,CIN,RB,26.9,320,7608,15271,719,297,79,468
Pat Bryant,null,WR,null,12634,12492,UNK,717,298,98,-13
Noah Gray,KC,TE,25.9,865,7828,15337,711,299,38,-496
Jimmy Horn,null,WR,null,12600,12523,UNK,704,300,99,-13
Elijah Moore,CLE,WR,25,4250,7596,15288,675,301,100,-140
Ricky White,null,WR,null,12582,12475,UNK,673,302,101,-13
Jermaine Burton,CIN,WR,23.7,11698,11640,16632,658,303,102,-252
Will Howard,null,QB,null,12619,12511,UNK,655,304,40,-15
Luke McCaffrey,WAS,WR,24,11788,11650,16635,649,305,103,-210
Javon Baker,NE,WR,23.1,11782,11645,16637,647,306,104,15
Diontae Johnson,null,WR,28.7,4373,5937,14208,641,307,105,-249
Michael Wilson,ARI,WR,25.1,9952,10232,16206,630,308,106,-177
Sean Tucker,TB,RB,23.4,9915,9506,16166,623,309,80,126
Devaughn Vele,DEN,WR,27.3,11908,11834,16788,621,310,107,-144
Alexander Mattison,LV,RB,26.8,7600,5987,14223,618,311,81,-10
Kenneth Gainwell,PHI,RB,26,4476,7567,15255,614,312,82,381
Mitchell Evans,null,TE,null,12614,12473,UNK,603,313,39,-12
Juwan Johnson,NO,TE,28.5,5552,7002,14861,599,314,40,188
Luke Musgrave,GB,TE,24.5,9856,9481,16215,582,315,41,30
AJ Barner,SEA,TE,22.9,11720,11603,16723,579,316,42,89
Nick Westbrook-Ikhine,TEN,WR,28,4872,7496,15109,574,317,108,8
Ja'Quinden Jackson,null,RB,null,12651,12479,UNK,559,318,83,-11
Tre Tucker,LV,WR,24,9873,10213,16287,556,319,109,-19
Dyami Brown,WAS,WR,25.4,7376,7587,15292,554,320,110,112
Mac Jones,JAX,QB,26.5,6814,7527,15241,543,321,41,205
